Dice Monoculture,Finish a round with all six dice showing the same face.,False,,Revealed,20,160
"Oops, All Axes",Finish a round with six axes. Subtlety has left the longhouse.,False,,Revealed,15,170
Pointy Weather,Finish a round with six arrows.,False,,Revealed,15,180
Helmet Convention,Finish a round with six helmets. Very safe. Very silly.,False,,Revealed,15,190
Shield Sandwich,Finish a round with six shields.,False,,Revealed,15,200
Sticky Fingers,Finish a round with six steals. Nobody check the pockets.,False,,Revealed,15,210
Gods on Do Not Disturb,Win without invoking a god favor.,False,,Revealed,30,220
Face Tank,Win without blocking a single attack.,False,,Revealed,25,230
Queue Conqueror,Win 10 matchmaking battles. No codes. No bots. Just trouble.,True,10,Revealed,30,240
Dragon Sits on Gold,Win with 15 or more favor still unspent.,False,,Revealed,25,250
